 n     ch_hole col3 col4 col5
    1281 -0.68970680E+01 -0.10328519E-16 -0.73158567E+01  0.36684888E-16
    1282 -0.68978438E+01 -0.10328411E-16 -0.73158567E+01  0.36684888E-16
    1283 -0.68984338E+01 -0.10328298E-16 -0.73158567E+01  0.36684888E-16
    1284 -0.68991586E+01 -0.10328468E-16 -0.73158567E+01  0.36684888E-16
    1285 -0.68997811E+01 -0.10328492E-16 -0.73158567E+01  0.36684888E-16
    1286 -0.69003752E+01 -0.10328649E-16 -0.73158567E+01  0.36684888E-16
    1287 -0.69010673E+01 -0.10328648E-16 -0.73158567E+01  0.36684888E-16
    1288 -0.69017482E+01 -0.10328615E-16 -0.73158567E+01  0.36684888E-16
    1289 -0.69024597E+01 -0.10328597E-16 -0.73158567E+01  0.36684888E-16
    1290 -0.69033239E+01 -0.10328959E-16 -0.73158567E+01  0.36684888E-16
    1291 -0.69041663E+01 -0.10328748E-16 -0.73158567E+01  0.36684888E-16
    1292 -0.69049049E+01 -0.10328744E-16 -0.73158567E+01  0.36684888E-16
    1293 -0.69057202E+01 -0.10328757E-16 -0.73158567E+01  0.36684888E-16
    1294 -0.69063255E+01 -0.10328930E-16 -0.73158567E+01  0.36684888E-16
    1295 -0.69070934E+01 -0.10329057E-16 -0.73158567E+01  0.36684888E-16
    1296 -0.69077268E+01 -0.10329153E-16 -0.73158567E+01  0.36684888E-16
    1297 -0.69084057E+01 -0.10329360E-16 -0.73158567E+01  0.36684888E-16
    1298 -0.69090558E+01 -0.10329502E-16 -0.73158567E+01  0.36684888E-16
    1299 -0.69098067E+01 -0.10329616E-16 -0.73158567E+01  0.36684888E-16
    1300 -0.69105240E+01 -0.10329498E-16 -0.73158567E+01  0.36684888E-16
    1301 -0.69112349E+01 -0.10329730E-16 -0.73158567E+01  0.36684888E-16
    1302 -0.69119150E+01 -0.10329795E-16 -0.73158567E+01  0.36684888E-16
    1303 -0.69126982E+01 -0.10329635E-16 -0.73158567E+01  0.36684888E-16
    1304 -0.69134079E+01 -0.10330113E-16 -0.73158567E+01  0.36684888E-16
    1305 -0.69141347E+01 -0.10329917E-16 -0.73158567E+01  0.36684888E-16
    1306 -0.69149371E+01 -0.10329958E-16 -0.73158567E+01  0.36684888E-16
    1307 -0.69157166E+01 -0.10329636E-16 -0.73158567E+01  0.36684888E-16
    1308 -0.69165515E+01 -0.10329797E-16 -0.73158567E+01  0.36684888E-16
    1309 -0.69173800E+01 -0.10329784E-16 -0.73158567E+01  0.36684888E-16
    1310 -0.69182867E+01 -0.10329848E-16 -0.73158567E+01  0.36684888E-16
    1311 -0.69190258E+01 -0.10329980E-16 -0.73158567E+01  0.36684888E-16
    1312 -0.69198340E+01 -0.10330275E-16 -0.73158567E+01  0.36684888E-16
    1313 -0.69205799E+01 -0.10330256E-16 -0.73158567E+01  0.36684888E-16
    1314 -0.69214288E+01 -0.10330008E-16 -0.73158567E+01  0.36684888E-16
    1315 -0.69221065E+01 -0.10330129E-16 -0.73158567E+01  0.36684888E-16
    1316 -0.69228785E+01 -0.10330141E-16 -0.73158567E+01  0.36684888E-16
    1317 -0.69236829E+01 -0.10330227E-16 -0.73158567E+01  0.36684888E-16
