 n     ch_hole col3 col4 col5
     321 -0.67616999E+00 -0.10923481E-17 -0.76075473E+01  0.56990402E-17
     322 -0.68501963E+00 -0.10984827E-17 -0.76075473E+01  0.56990402E-17
     323 -0.69178921E+00 -0.11036213E-17 -0.76075473E+01  0.56990402E-17
     324 -0.70654023E+00 -0.11439524E-17 -0.76075473E+01  0.56990402E-17
     325 -0.71226001E+00 -0.11519313E-17 -0.76075473E+01  0.56990402E-17
     326 -0.72590545E+00 -0.11612688E-17 -0.76075473E+01  0.56990402E-17
     327 -0.73770005E+00 -0.11638862E-17 -0.76075473E+01  0.56990402E-17
     328 -0.74463149E+00 -0.11619939E-17 -0.76075473E+01  0.56990402E-17
     329 -0.75515084E+00 -0.11465827E-17 -0.76075473E+01  0.56990402E-17
     330 -0.76040654E+00 -0.11422568E-17 -0.76075473E+01  0.56990402E-17
     331 -0.76674125E+00 -0.11459973E-17 -0.76075473E+01  0.56990402E-17
     332 -0.77446769E+00 -0.11368686E-17 -0.76075473E+01  0.56990402E-17
