 n     ch_hole col3
     691 -0.51574511E+01 -0.12817016E-17
     692 -0.51578418E+01 -0.12817111E-17
     693 -0.51582639E+01 -0.12816814E-17
     694 -0.51588605E+01 -0.12816913E-17
     695 -0.51593285E+01 -0.12816985E-17
     696 -0.51601436E+01 -0.12816714E-17
     697 -0.51609127E+01 -0.12817219E-17
     698 -0.51617668E+01 -0.12817590E-17
     699 -0.51626222E+01 -0.12817051E-17
     700 -0.51630299E+01 -0.12816975E-17
     701 -0.51635044E+01 -0.12817153E-17
     702 -0.51645162E+01 -0.12817760E-17
     703 -0.51655743E+01 -0.12817506E-17
     704 -0.51664279E+01 -0.12817441E-17
     705 -0.51671770E+01 -0.12817310E-17
     706 -0.51679024E+01 -0.12817403E-17
     707 -0.51686819E+01 -0.12817060E-17
     708 -0.51692666E+01 -0.12816623E-17
     709 -0.51697349E+01 -0.12816518E-17
     710 -0.51701370E+01 -0.12816478E-17
     711 -0.51706140E+01 -0.12816578E-17
     712 -0.51711467E+01 -0.12816407E-17
     713 -0.51716292E+01 -0.12816604E-17
     714 -0.51722825E+01 -0.12817139E-17
     715 -0.51732391E+01 -0.12817539E-17
     716 -0.51737274E+01 -0.12817828E-17
     717 -0.51749404E+01 -0.12818050E-17
     718 -0.51756833E+01 -0.12817808E-17
     719 -0.51765454E+01 -0.12817167E-17
     720 -0.51779645E+01 -0.12817931E-17
     721 -0.51784395E+01 -0.12818079E-17
     722 -0.51789659E+01 -0.12818019E-17
     723 -0.51796998E+01 -0.12817986E-17
     724 -0.51805889E+01 -0.12818097E-17
     725 -0.51812771E+01 -0.12818611E-17
     726 -0.51820868E+01 -0.12818805E-17
     727 -0.51828721E+01 -0.12818954E-17
     728 -0.51840018E+01 -0.12818868E-17
     729 -0.51850277E+01 -0.12819001E-17
     730 -0.51853873E+01 -0.12818980E-17
     731 -0.51860954E+01 -0.12819164E-17
     732 -0.51869520E+01 -0.12819257E-17
     733 -0.51873982E+01 -0.12819494E-17
     734 -0.51881078E+01 -0.12819578E-17
     735 -0.51892316E+01 -0.12819674E-17
     736 -0.51902338E+01 -0.12819899E-17
     737 -0.51906217E+01 -0.12819945E-17
     738 -0.51913143E+01 -0.12819708E-17
     739 -0.51919240E+01 -0.12819549E-17
     740 -0.51924591E+01 -0.12819508E-17
     741 -0.51933376E+01 -0.12819465E-17
     742 -0.51939094E+01 -0.12819913E-17
     743 -0.51941887E+01 -0.12819877E-17
     744 -0.51950646E+01 -0.12819607E-17
     745 -0.51957083E+01 -0.12819962E-17
     746 -0.51964386E+01 -0.12819999E-17
     747 -0.51968759E+01 -0.12820281E-17
     748 -0.51972482E+01 -0.12820302E-17
     749 -0.51976677E+01 -0.12820453E-17
     750 -0.51980920E+01 -0.12820481E-17
     751 -0.51987982E+01 -0.12820499E-17
     752 -0.51996271E+01 -0.12820910E-17
     753 -0.52000539E+01 -0.12820913E-17
     754 -0.52004442E+01 -0.12821108E-17
     755 -0.52006053E+01 -0.12821208E-17
     756 -0.52012572E+01 -0.12820815E-17
     757 -0.52016086E+01 -0.12820746E-17
     758 -0.52019680E+01 -0.12820810E-17
     759 -0.52024099E+01 -0.12820440E-17
     760 -0.52029202E+01 -0.12820570E-17
     761 -0.52031774E+01 -0.12820625E-17
     762 -0.52036508E+01 -0.12820506E-17
     763 -0.52043314E+01 -0.12819984E-17
     764 -0.52046873E+01 -0.12820053E-17
     765 -0.52056182E+01 -0.12819918E-17
     766 -0.52061874E+01 -0.12819868E-17
     767 -0.52064168E+01 -0.12819969E-17
     768 -0.52068960E+01 -0.12819898E-17
     769 -0.52072004E+01 -0.12819998E-17
     770 -0.52080925E+01 -0.12820555E-17
     771 -0.52088440E+01 -0.12820679E-17
     772 -0.52090829E+01 -0.12820665E-17
     773 -0.52095183E+01 -0.12820841E-17
     774 -0.52099424E+01 -0.12821141E-17
     775 -0.52108962E+01 -0.12821934E-17
     776 -0.52114038E+01 -0.12822087E-17
     777 -0.52117867E+01 -0.12822299E-17
     778 -0.52123173E+01 -0.12822449E-17
     779 -0.52127614E+01 -0.12822205E-17
